run_id,growth_rate,balancing_strength,target,delay,capacity,threshold,threshold_correction,shock_size,minimum_stock,maximum_stock,final_stock,time_to_peak,maximum_inflow,maximum_outflow,threshold_active_periods
208,0.087638,0.063815,63.420518,3,101.065063,86.096025,0.094189,-13.255941,15.000000,83.420980,83.420980,160,2.213960,1.276327,0
209,0.091327,0.083400,45.116779,11,70.061491,69.569543,0.080408,-15.291824,15.000000,61.398714,57.434099,39,1.598978,1.357916,0
210,0.126335,0.034642,65.646975,6,75.315858,79.979514,0.069354,-14.462051,15.000000,73.214091,73.187943,48,2.378198,0.262141,0
211,0.102448,0.038878,47.176072,12,74.209145,69.442812,0.044910,-10.938677,15.000000,68.092907,66.122577,42,1.899944,0.813204,0
212,0.121657,0.084872,59.375187,7,88.331881,70.973560,0.082543,-4.781284,15.000000,76.475988,73.878875,31,2.685429,1.451388,132
213,0.100664,0.041019,51.166868,5,99.062170,81.373412,0.071000,-5.292112,15.000000,82.647704,82.629735,50,2.491683,1.291302,112
214,0.108550,0.082136,55.798498,3,109.198870,89.712415,0.060448,-9.184050,15.000000,82.473890,82.473890,90,2.962591,2.191019,0
215,0.093677,0.072545,61.160276,9,86.505916,81.901846,0.036966,-9.412888,15.000000,77.412379,74.546124,43,2.025896,1.179008,0
216,0.082746,0.032724,52.421811,4,70.167794,88.203927,0.072240,-6.361508,15.000000,64.848922,64.848922,160,1.451512,0.406644,0
217,0.109773,0.073372,63.674258,2,87.719343,83.694342,0.102403,-6.274091,15.000000,77.351902,77.351902,160,2.406510,1.003562,0
218,0.088850,0.087135,66.066653,3,108.366992,89.633669,0.047765,-6.134439,15.000000,84.845270,84.845270,90,2.407090,1.636278,0
219,0.129649,0.051585,51.869061,12,86.348243,76.197593,0.064819,-5.973848,15.000000,79.245654,75.594370,33,2.797602,1.412233,23
220,0.084642,0.054153,63.721009,3,91.807023,83.685238,0.053469,-13.972340,15.000000,79.908102,79.908102,160,1.942125,0.876568,0
221,0.109794,0.085799,50.148597,7,103.919303,83.804614,0.094868,-14.081873,15.000000,80.709590,76.172014,32,2.850796,2.622088,0
222,0.120959,0.055923,61.509215,6,86.978756,65.689391,0.037389,-4.372407,15.000000,76.515980,75.806468,35,2.629624,0.839217,138
223,0.111057,0.058885,63.869966,13,92.501141,69.211445,0.039092,-4.378185,15.000000,82.968730,79.071548,39,2.568155,1.124630,136
224,0.121848,0.043853,48.433340,5,105.918082,81.191285,0.064248,-8.452725,15.000000,86.184117,86.077296,38,3.226202,1.655469,129
225,0.075825,0.033484,46.910198,4,80.784110,93.338228,0.056840,-14.180708,15.000000,69.259505,69.259505,160,1.531235,0.748167,0
226,0.128930,0.077125,55.011600,14,99.001848,81.569289,0.098825,-14.885775,15.000000,88.396871,80.715906,32,3.189876,2.574855,39
